"Abilene, TX",10180,2002,4,126.81,( 2.49)
"Abilene, TX",10180,2003,1,126.36,( 2.49)
"Abilene, TX",10180,2003,2,127.04,( 2.44)
"Abilene, TX",10180,2003,3,127.78,( 2.45)
"Abilene, TX",10180,2003,4,126.19,( 2.59)
"Abilene, TX",10180,2004,1,129.99,( 2.66)
"Abilene, TX",10180,2004,2,132.13,( 2.63)
"Abilene, TX",10180,2004,3,133.43,( 2.70)
"Abilene, TX",10180,2004,4,134.53,( 2.76)
"Abilene, TX",10180,2005,1,136.74,( 2.82)
"Abilene, TX",10180,2005,2,142.10,( 2.89)
"Abilene, TX",10180,2005,3,142.65,( 2.83)
"Abilene, TX",10180,2005,4,144.99,( 2.99)
"Abilene, TX",10180,2006,1,150.50,( 3.04)
"Abilene, TX",10180,2006,2,151.24,( 3.01)
"Abilene, TX",10180,2006,3,155.18,( 3.08)
"Abilene, TX",10180,2006,4,157.85,( 3.17)
"Abilene, TX",10180,2007,1,162.03,( 3.34)
"Abilene, TX",10180,2007,2,163.80,( 3.22)
"Abilene, TX",10180,2007,3,162.78,( 3.18)
"Abilene, TX",10180,2007,4,163.03,( 3.30)
"Abilene, TX",10180,2008,1,165.06,( 3.31)
"Abilene, TX",10180,2008,2,164.56,( 3.29)
"Abilene, TX",10180,2008,3,165.74,( 3.35)
"Abilene, TX",10180,2008,4,169.03,( 3.59)
"Abilene, TX",10180,2009,1,170.31,( 3.38)
"Abilene, TX",10180,2009,2,169.28,( 3.36)
"Abilene, TX",10180,2009,3,169.89,( 3.55)
"Abilene, TX",10180,2009,4,169.65,( 3.54)
"Abilene, TX",10180,2010,1,170.39,( 3.62)
"Abilene, TX",10180,2010,2,168.65,( 3.49)
"Abilene, TX",10180,2010,3,170.64,( 3.50)
"Abilene, TX",10180,2010,4,169.85,( 3.43)
"Abilene, TX",10180,2011,1,168.21,( 3.50)
"Abilene, TX",10180,2011,2,167.09,( 3.43)
"Abilene, TX",10180,2011,3,169.16,( 3.52)
"Abilene, TX",10180,2011,4,167.38,( 3.46)
"Abilene, TX",10180,2012,1,168.32,( 3.46)
"Abilene, TX",10180,2012,2,170.09,( 3.47)
"Abilene, TX",10180,2012,3,173.74,( 3.56)
"Abilene, TX",10180,2012,4,170.43,( 3.55)
"Abilene, TX",10180,2013,1,172.89,( 3.52)
"Abilene, TX",10180,2013,2,173.76,( 3.55)
"Abilene, TX",10180,2013,3,178.31,( 3.62)
"Abilene, TX",10180,2013,4,181.80,( 3.91)
"Abilene, TX",10180,2014,1,182.90,( 4.08)
"Abilene, TX",10180,2014,2,185.27,( 3.90)
"Abilene, TX",10180,2014,3,188.17,( 3.89)
"Abilene, TX",10180,2014,4,189.25,( 4.15)
"Abilene, TX",10180,2015,1,185.03,( 3.94)
"Abilene, TX",10180,2015,2,190.38,( 3.97)
"Abilene, TX",10180,2015,3,193.89,( 4.05)
"Abilene, TX",10180,2015,4,195.37,( 4.20)
"Abilene, TX",10180,2016,1,195.61,( 4.45)
"Abilene, TX",10180,2016,2,197.90,( 4.14)
"Abilene, TX",10180,2016,3,201.53,( 4.15)
"Abilene, TX",10180,2016,4,204.80,( 4.39)
"Abilene, TX",10180,2017,1,200.33,( 4.29)
"Abilene, TX",10180,2017,2,207.86,( 4.40)
"Abilene, TX",10180,2017,3,211.22,( 4.37)
"Abilene, TX",10180,2017,4,209.68,( 4.48)
"Abilene, TX",10180,2018,1,210.14,( 4.45)
"Abilene, TX",10180,2018,2,220.46,( 4.54)
"Abilene, TX",10180,2018,3,217.22,( 4.48)
"Abilene, TX",10180,2018,4,224.45,( 4.64)
"Abilene, TX",10180,2019,1,219.31,( 4.56)
"Abilene, TX",10180,2019,2,225.15,( 4.57)
"Abilene, TX",10180,2019,3,227.45,( 4.59)
"Abilene, TX",10180,2019,4,229.47,( 4.70)
"Abilene, TX",10180,2020,1,230.63,( 4.67)
"Abilene, TX",10180,2020,2,232.82,( 4.60)
"Abilene, TX",10180,2020,3,237.80,( 4.69)
"Abilene, TX",10180,2020,4,241.10,( 4.79)
"Abilene, TX",10180,2021,1,241.84,( 4.80)
"Abilene, TX",10180,2021,2,260.86,( 5.21)
"Abilene, TX",10180,2021,3,273.76,( 5.49)
"Abilene, TX",10180,2021,4,287.39,( 5.92)
"Abilene, TX",10180,2022,1,288.25,( 6.02)
"Abilene, TX",10180,2022,2,305.59,( 6.51)
"Abilene, TX",10180,2022,3,307.00,( 6.96)
"Abilene, TX",10180,2022,4,302.80,( 7.53)
"Abilene, TX",10180,2023,1,322.87,( 7.84)
"Abilene, TX",10180,2023,2,318.71,( 7.61)
"Abilene, TX",10180,2023,3,332.37,( 8.82)
"Abilene, TX",10180,2023,4,344.08,( 9.06)
"Abilene, TX",10180,2024,1,316.97,( 8.84)
"Abilene, TX",10180,2024,2,346.71,( 8.70)
"Abilene, TX",10180,2024,3,336.77,( 8.93)
"Akron, OH",10420,1975,1,-,-
"Akron, OH",10420,1975,2,-,-
"Akron, OH",10420,1975,3,-,-
"Akron, OH",10420,1975,4,-,-
"Akron, OH",10420,1976,1,-,-
"Akron, OH",10420,1976,2,-,-
"Akron, OH",10420,1976,3,40.20,( 0.75)
"Akron, OH",10420,1976,4,39.17,( 0.93)
"Akron, OH",10420,1977,1,40.70,( 0.92)
"Akron, OH",10420,1977,2,42.40,( 0.63)
"Akron, OH",10420,1977,3,44.07,( 0.61)
"Akron, OH",10420,1977,4,44.67,( 0.68)
"Akron, OH",10420,1978,1,48.40,( 0.89)
"Akron, OH",10420,1978,2,49.47,( 0.72)
"Akron, OH",10420,1978,3,48.79,( 0.72)
"Akron, OH",10420,1978,4,52.95,( 0.79)
"Akron, OH",10420,1979,1,53.62,( 0.81)
"Akron, OH",10420,1979,2,56.40,( 0.67)
"Akron, OH",10420,1979,3,56.17,( 0.71)
"Akron, OH",10420,1979,4,55.74,( 0.80)
"Akron, OH",10420,1980,1,55.78,( 0.96)
"Akron, OH",10420,1980,2,56.89,( 1.01)
"Akron, OH",10420,1980,3,56.23,( 0.75)
"Akron, OH",10420,1980,4,57.06,( 0.84)
"Akron, OH",10420,1981,1,56.45,( 1.70)
"Akron, OH",10420,1981,2,57.11,( 1.25)
"Akron, OH",10420,1981,3,56.63,( 1.57)
"Akron, OH",10420,1981,4,54.50,( 1.22)
"Akron, OH",10420,1982,1,48.16,( 0.84)
"Akron, OH",10420,1982,2,53.03,( 1.15)
"Akron, OH",10420,1982,3,52.22,( 1.15)
"Akron, OH",10420,1982,4,55.59,( 1.23)
"Akron, OH",10420,1983,1,56.55,( 0.77)
"Akron, OH",10420,1983,2,58.15,( 0.70)
"Akron, OH",10420,1983,3,57.95,( 0.62)
"Akron, OH",10420,1983,4,56.54,( 0.78)
"Akron, OH",10420,1984,1,56.82,( 0.67)
"Akron, OH",10420,1984,2,57.83,( 0.50)
"Akron, OH",10420,1984,3,56.73,( 0.62)
"Akron, OH",10420,1984,4,57.49,( 0.51)
"Akron, OH",10420,1985,1,58.62,( 0.46)
"Akron, OH",10420,1985,2,59.02,( 0.42)
"Akron, OH",10420,1985,3,59.46,( 0.39)
"Akron, OH",10420,1985,4,59.86,( 0.44)
"Akron, OH",10420,1986,1,61.46,( 0.44)
"Akron, OH",10420,1986,2,61.85,( 0.35)
"Akron, OH",10420,1986,3,63.31,( 0.37)
"Akron, OH",10420,1986,4,63.90,( 0.39)
"Akron, OH",10420,1987,1,65.02,( 0.42)
"Akron, OH",10420,1987,2,66.91,( 0.39)
"Akron, OH",10420,1987,3,67.71,( 0.50)
"Akron, OH",10420,1987,4,68.00,( 0.63)
"Akron, OH",10420,1988,1,69.83,( 0.63)
"Akron, OH",10420,1988,2,70.58,( 0.51)
"Akron, OH",10420,1988,3,71.11,( 0.53)
"Akron, OH",10420,1988,4,71.80,( 0.57)
"Akron, OH",10420,1989,1,71.67,( 0.59)
"Akron, OH",10420,1989,2,73.82,( 0.51)
"Akron, OH",10420,1989,3,76.98,( 0.50)
"Akron, OH",10420,1989,4,76.81,( 0.52)
"Akron, OH",10420,1990,1,79.25,( 0.59)
"Akron, OH",10420,1990,2,78.50,( 0.51)
"Akron, OH",10420,1990,3,80.63,( 0.50)
"Akron, OH",10420,1990,4,80.67,( 0.54)
"Akron, OH",10420,1991,1,81.94,( 0.52)
"Akron, OH",10420,1991,2,83.05,( 0.47)
"Akron, OH",10420,1991,3,84.00,( 0.49)
"Akron, OH",10420,1991,4,84.88,( 0.47)
"Akron, OH",10420,1992,1,86.84,( 0.45)
"Akron, OH",10420,1992,2,87.31,( 0.45)
"Akron, OH",10420,1992,3,89.07,( 0.47)
"Akron, OH",10420,1992,4,90.09,( 0.46)
"Akron, OH",10420,1993,1,91.04,( 0.50)
"Akron, OH",10420,1993,2,91.97,( 0.46)
"Akron, OH",10420,1993,3,93.73,( 0.48)
"Akron, OH",10420,1993,4,95.28,( 0.47)
"Akron, OH",10420,1994,1,95.64,( 0.50)
"Akron, OH",10420,1994,2,96.73,( 0.54)
"Akron, OH",10420,1994,3,98.57,( 0.57)
"Akron, OH",10420,1994,4,98.49,( 0.59)
"Akron, OH",10420,1995,1,100.00,( 0.00)
"Akron, OH",10420,1995,2,101.48,( 0.57)
"Akron, OH",10420,1995,3,103.38,( 0.54)
"Akron, OH",10420,1995,4,104.64,( 0.56)
"Akron, OH",10420,1996,1,107.17,( 0.55)
"Akron, OH",10420,1996,2,107.26,( 0.56)
"Akron, OH",10420,1996,3,108.21,( 0.59)
"Akron, OH",10420,1996,4,109.97,( 0.61)
"Akron, OH",10420,1997,1,110.93,( 0.62)
"Akron, OH",10420,1997,2,111.93,( 0.60)
"Akron, OH",10420,1997,3,114.16,( 0.60)
"Akron, OH",10420,1997,4,115.37,( 0.61)
"Akron, OH",10420,1998,1,117.42,( 0.58)
"Akron, OH",10420,1998,2,118.45,( 0.59)
"Akron, OH",10420,1998,3,119.75,( 0.60)
"Akron, OH",10420,1998,4,121.23,( 0.59)
"Akron, OH",10420,1999,1,122.30,( 0.61)
"Akron, OH",10420,1999,2,123.51,( 0.63)
"Akron, OH",10420,1999,3,123.76,( 0.65)
"Akron, OH",10420,1999,4,124.05,( 0.68)
"Akron, OH",10420,2000,1,124.14,( 0.68)
"Akron, OH",10420,2000,2,125.89,( 0.65)
"Akron, OH",10420,2000,3,128.02,( 0.65)
"Akron, OH",10420,2000,4,129.38,( 0.66)
"Akron, OH",10420,2001,1,132.16,( 0.65)
"Akron, OH",10420,2001,2,133.42,( 0.64)
"Akron, OH",10420,2001,3,134.45,( 0.65)
"Akron, OH",10420,2001,4,136.33,( 0.65)
"Akron, OH",10420,2002,1,136.77,( 0.66)
"Akron, OH",10420,2002,2,137.00,( 0.67)
"Akron, OH",10420,2002,3,138.85,( 0.67)
"Akron, OH",10420,2002,4,139.85,( 0.67)
"Akron, OH",10420,2003,1,140.75,( 0.67)
"Akron, OH",10420,2003,2,141.61,( 0.67)
"Akron, OH",10420,2003,3,143.00,( 0.68)
"Akron, OH",10420,2003,4,143.23,( 0.73)
"Akron, OH",10420,2004,1,144.55,( 0.73)
"Akron, OH",10420,2004,2,145.47,( 0.74)
"Akron, OH",10420,2004,3,146.21,( 0.78)
"Akron, OH",10420,2004,4,147.59,( 0.79)
"Akron, OH",10420,2005,1,148.92,( 0.82)
"Akron, OH",10420,2005,2,150.21,( 0.81)
"Akron, OH",10420,2005,3,151.73,( 0.80)
"Akron, OH",10420,2005,4,152.09,( 0.83)
"Akron, OH",10420,2006,1,152.59,( 0.87)
"Akron, OH",10420,2006,2,150.01,( 0.82)
"Akron, OH",10420,2006,3,149.10,( 0.81)
"Akron, OH",10420,2006,4,151.13,( 0.84)
"Akron, OH",10420,2007,1,150.32,( 0.84)
"Akron, OH",10420,2007,2,148.52,( 0.80)
"Akron, OH",10420,2007,3,146.98,( 0.80)
"Akron, OH",10420,2007,4,146.46,( 0.81)
"Akron, OH",10420,2008,1,147.19,( 0.79)
"Akron, OH",10420,2008,2,145.39,( 0.82)
"Akron, OH",10420,2008,3,140.90,( 0.83)
"Akron, OH",10420,2008,4,140.92,( 0.85)
"Akron, OH",10420,2009,1,144.09,( 0.76)
"Akron, OH",10420,2009,2,140.23,( 0.74)
"Akron, OH",10420,2009,3,137.53,( 0.80)
"Akron, OH",10420,2009,4,137.64,( 0.78)
"Akron, OH",10420,2010,1,135.12,( 0.79)
"Akron, OH",10420,2010,2,135.15,( 0.78)
"Akron, OH",10420,2010,3,136.57,( 0.74)
"Akron, OH",10420,2010,4,135.95,( 0.74)
"Akron, OH",10420,2011,1,132.38,( 0.81)
"Akron, OH",10420,2011,2,128.85,( 0.80)
"Akron, OH",10420,2011,3,130.29,( 0.76)
"Akron, OH",10420,2011,4,129.79,( 0.74)
"Akron, OH",10420,2012,1,126.75,( 0.72)
"Akron, OH",10420,2012,2,126.22,( 0.73)
"Akron, OH",10420,2012,3,127.33,( 0.72)
